"id","properties_stop_name","lat","lng","kod_zsj_d"
"1191","Hejtmanská","50.10539","14.55703","1316790"
"1193","Kladno,Central","50.14285","14.10184","0650640"
"1195","Sedlecký přívoz","50.1337","14.39303","1300440"
"1196","Sedlec","50.134679999999996","14.3919","1300440"
"1198","Praha-Sedlec","50.13205","14.3943","1300440"
"1199","Čestlice,Polní","50.00342","14.579820000000002","0234420"
"12","Mladá Boleslav hl.n. kolej č.5c","50.40826","14.89456","0966440"
"1201","Čerčany","49.8508","14.70175","0196660"
"1202","Benešov u Prahy","49.7795","14.68283","0022410"
"1203","Benešov,aut.st.","49.77852","14.68796","0022320"
"1207","Rájecká","50.02494","14.60195","1734280"
"121","Obchodní centrum Štěrboholy","50.07224","14.543","1325190"
"1211","Hostivice,Průmyslová","50.07907","14.26864","3267210"
"1213","Černická","50.08015","14.50598","1319620"
"1214","Terezínská","50.12737","14.50066","3059950"
"1215","Hellichova","50.08566","14.40417","1270940"
"1217","Svatoňovická","50.083729999999996","14.574279999999998","3174030"
"1219","Mrač,Obec","49.830220000000004","14.6904","1000050"
"1220","U Bílého Mlýnku","50.15627","14.52762","1314820"
"1222","K Letňanům","50.14351","14.484070000000001","1306210"
"1224","Poliklinika Frýdecká","50.13881","14.508729999999998","3063980"
"1226","Šumperská","50.13592","14.50906","3063980"
"1228","Třinecká","50.134370000000004","14.50983","3063980"
"123","Okořská","50.135909999999996","14.431479999999999","1303970"
"1230","Příborská","50.13146","14.51094","3063980"
"1232","K Drsnici","50.14268","14.38461","1300280"
"1233","K Horoměřicům","50.13248","14.368520000000002","1299680"
"1235","Hercovka","50.12207","14.451220000000001","1306990"
"1237","Balkán","50.0954","14.496260000000001","1317840"
"1239","Libušín,Černá zem","50.17317","14.05613","0835850"
"124","Sídliště Rohožník","50.07262","14.68155","3173310"
"1241","Kabešova","50.10246","14.508270000000001","1312610"
"1245","Vyskočilova","50.04847","14.458079999999999","1277520"
"1248","Za Skalkou","50.04575","14.419220000000001","1278920"
"1250","Na Formance","50.01657","14.53093","3161050"
"1254","U Mezníku","50.05108","14.62319","1733980"
"1258","K Austisu","50.02118","14.34114","3062150"
"1259","Diskařská","50.07909","14.382760000000001","1295690"
"1261","Mariánské náměstí","50.08733","14.41736","1269930"
"1263","Truhlářská","50.089459999999995","14.428679999999998","1270350"
"1264","Hládkov","50.09068","14.385539999999999","1295510"
"1268","Hradební","50.09075","14.42714","1270190"
"127","Živcová","49.9908","14.368360000000001","1386220"
"1270","Sicherova","50.11505","14.56112","1316610"
"1272","Za Kapličkou","50.12793","14.57262","1461370"
"1273","Netřebická","50.1293","14.572820000000002","1461370"
"1274","Český Brod,Na Bulánce","50.07185","14.85604","0227560"
"1277","Český Brod,Sídliště","50.069990000000004","14.85276","0227560"
"1279","Český Brod,Zahrady","50.05784","14.846829999999999","1713870"
"128","Rektorská","50.08755","14.5068","1324540"
"1281","Vrátkov","50.04951","14.83855","1671850"
"1283","Hlavní","50.04623","14.487620000000001","1282010"
"1286","Tismice","50.057359999999996","14.82065","1671770"
"1288","Tismice,MŠ","50.05637","14.81734","1671770"
"1290","Mrzky","50.04603","14.8097","1671690"
"1292","Doubravčice,bytovky","50.023109999999996","14.79571","0312080"
"1294","Masojedy","50.02617","14.77794","0312160"
"1296","Hradešín","50.0379","14.75983","1362800"
"1298","Hradešín,sklady Marca","50.04152","14.762020000000001","1362981"
"13","Neratovice výhybka č. 104","50.26205","14.522620000000002","1036080"
"130","Sídliště Barrandov","50.0315","14.368479999999998","3165210"
"1300","Přišimasy,Horka","50.048970000000004","14.76428","1362982"
"1302","Přišimasy","50.05171","14.76074","1362981"
"1304","Škvorec,rozc.","50.044940000000004","14.73978","1627360"
"132","Poliklinika Háje","50.033770000000004","14.5273","1282360"
"134","Kazínská","50.01167","14.38635","1292160"
"1340","Hlavní nádraží","50.08351","14.43414","1270510"
"1341","Václavské nám., Státní opera","50.08318","14.433520000000001","1270510"
"1342","Historická budova nádraží","50.08352","14.435410000000001","3057820"
"1344","Parking Wilsonova, BUS","50.08338","14.434629999999999","1270510"
"1346","Masarykovo nádr., Hybernská ul., TRAM","50.08406","14.43416","1270510"
"1347","Nástupiště (sever)","50.0836","14.43585","3057820"
"1348","Nástupiště / platforms","50.08314","14.4355","3057820"
"1349","Nástupiště (jih)","50.08266","14.43515","3057820"
"135","Českobrodská","50.091809999999995","14.532960000000001","3171520"
"1354","Praha hl.n.","50.0831","14.43619","1272130"
"1358","Starý Vestec","50.1446","14.847610000000001","1552330"
"136","Zátišská","50.016690000000004","14.41115","1286190"
"1362","Velenka","50.13908","14.89714","1777840"
"1365","Hradištko,Kersko,Hl.sil.","50.13797","14.90557","0475200"
"1368","Sadská,Kaple","50.13355","14.9691","1459210"
"1370","Sadská","50.13324","14.98618","1459210"
"1372","Sadská,Husova","50.13728","14.98509","1459210"
"1373","Hradištko,Kersko,U Pramene","50.15416","14.910020000000001","0475200"
"1375","Hradištko,Kersko,Branaldova","50.16097","14.912220000000001","0475200"
"1377","Hradištko,Chaty","50.16179","14.927220000000002","0475110"
"1379","Hradištko","50.16617","14.93666","0475110"
"138","Za Nadjezdem","50.056779999999996","14.548589999999999","1318220"
"1381","Hlohová","50.05643","14.502","1318900"
"1383","Sadská,Mrsolská cesta","50.14997","14.9647","1459210"
"1385","Sadská,Hotel Modrá Hvězda","50.1451","14.981029999999999","1459210"
"1387","Pečky,Žel.st.","50.09032","15.0284","1188260"
"1390","Pečky","50.08984","15.027289999999999","1188260"
"1391","Pečky,Palackého","50.08852","15.029679999999999","1188260"
"1393","Pečky,Tona","50.09336","15.0272","1188260"
"1396","Pečky,Velké Chvalovice","50.09792","15.01426","1788450"
"1398","Milčice,křiž.","50.10448","14.99254","0945360"
"14","Rokycany","49.74","13.59245","1407240"
"1400","Tatce","50.09175","14.97591","1651740"
"1401","Hořany","50.09763","14.94564","0450040"
"1402","Poříčany,Prodejna","50.10585","14.91792","1259890"
"1404","Starý Hloubětín","50.10435","14.529910000000001","3182720"
"1410","Poříčany,Žel.st.","50.11074","14.92208","1259890"
"1411","Poříčany","50.1112","14.922279999999999","1259890"
"1412","Semice","50.163909999999994","14.8757","1472140"
"1415","Semice,Školka","50.16405","14.869370000000002","1472140"
"1417","Semice,Křiž.","50.16578","14.857520000000001","1472140"
"1419","Poříčany,U Hroudů","50.10933","14.91681","1259890"
"142","U Kestřánků","49.98693","14.356810000000001","1386220"
"1421","Chrást,Host.","50.12099","14.89495","0537410"
"1423","Chrást","50.11762","14.90195","0537410"
"1425","Hradištko,Kersko,Hrabalova","50.158809999999995","14.902729999999998","0475200"
"1427","Borek","50.22123","14.65363","0809340"
"1429","Mladějovská","50.13255","14.56035","1316520"
"1431","Lhota","50.242709999999995","14.65625","0809340"
"1433","Křenek","50.23117","14.62914","0758090"
"1434","Křenek,Rozc.","50.24037","14.63611","3245740"
"1435","Dřísy","50.25632","14.644620000000002","0331110"
"1437","Dřísy,U Vily","50.25179","14.643920000000001","0331110"
"1439","Dřísy,Žel.st.","50.2438","14.636079999999998","3245740"
"144","Zadní Jiviny","50.077040000000004","14.298639999999999","1297210"
"1442","Konětopy","50.27467","14.655610000000001","0690510"
"1446","Hlavenec","50.23787","14.700920000000002","0389620"
"1448","Hlavenec,U 4 kamenů křiž.","50.22688","14.7172","0389620"
"145","Amforová","50.04185","14.327279999999998","3062310"
"1450","Nádraží Hlubočepy","50.04103","14.39378","1288300"
"1452","Praha-Hlubočepy","50.0407","14.39386","1288300"
"1453","Kostelní Hlavno,U Kostela","50.25819","14.69771","0705130"
"1455","Kostelní Hlavno,U Pomníku","50.25732","14.699370000000002","0705130"
"1457","Sudovo Hlavno","50.26254","14.685229999999999","1588950"
"1459","Mečeříž","50.29006","14.73625","0923980"
"1460","Suchdol,Vysoká,rozc.1.2","49.951409999999996","15.181470000000001","1590850"
"1462","Miskovice","49.94645","15.20744","0959911"
"1464","Miskovice,Přítoky","49.947590000000005","15.237860000000001","0960080"
"1466","Mnetěš","50.3599","14.27607","0973900"
"1467","Praha-Holyně","50.03284","14.34855","3167920"
"1468","Hlubočepy","50.04298","14.4044","1291010"
"1476","Praha-Žvahov","50.04568","14.402429999999999","1288300"
"1477","Vinařice,Na Horce","50.17649","14.097560000000001","1822730"
"1478","Praha-Cibulka","50.06458","14.36217","1287670"
"1479","Praha-Stodůlky","50.06221","14.346110000000001","1289020"
"1480","Hovorčovice","50.18184","14.51675","0463880"
"1482","Milčice","50.10657","14.99264","0945360"
"1484","Sadská,Prokopova","50.12894","14.98453","1459210"
"1486","Milovice,Armádní","50.22925","14.86868","3185070"
"1488","Milovice,Balonka","50.22964","14.89269","0951920"
"149","Dostihová","50.01253","14.39391","1292160"
"1491","Holečkova","50.074220000000004","14.39497","1287910"
"1493","Milovice,Benátecká Vrutice","50.23033","14.837470000000001","0020620"
"1495","Milovice,Radnice","50.22847","14.87514","0962880"
"1497","Milovice,Sportovní","50.23052","14.865160000000001","3185070"
"1498","Milovice,Škola","50.228629999999995","14.88613","0951920"
"15","Beroun seřaďovací nádraží","49.95131","14.058420000000002","0030000"
"1500","Milovice,Telecom","50.22948","14.86289","3185070"
"1502","Milovice,žel.st.","50.22914","14.882229999999998","0951920"
"1504","Milovice","50.22895","14.88156","0951920"
"1505","Kostelní Lhota,U Kovárny","50.12959","15.02285","0705210"
"1507","Kostelní Lhota","50.12966","15.030529999999999","0705210"
"1509","Horoušany,Horoušánky","50.09963","14.71245","0447920"
"1511","Holyně","50.02978","14.35716","1505760"
"1513","Baně","49.95258","14.37909","3166100"
"1516","Šestajovice,Za Stodolami","50.113009999999996","14.67997","1623880"
"1518","Dolní Břežany,Na kopečku","49.96908","14.46204","0287970"
"1520","Dolní Břežany,Náměstí","49.96452","14.45921","0287970"
"1522","Dolní Břežany,Obecní úřad","49.96329","14.45558","0287970"
"1525","Dolní Břežany,Lhota","49.956179999999996","14.432839999999999","0288010"
"1527","Ohrobec,U Čisteckých","49.94768","14.43392","1093550"
"1529","Ohrobec","49.943740000000005","14.431220000000001","1093550"
"153","Poliklinika Barrandov","50.03405","14.37455","1291270"
"1531","Ohrobec,Károv","49.94742","14.419939999999999","1093470"
"1533","Dolní Břežany,Zálepy","49.94843","14.41138","0288190"
"1534","Weberova","50.0735","14.3555","1289700"
"1536","Dolní Břežany,Na Rovném","49.95832","14.44939","0287970"
"1538","Dolní Břežany,Hřiště","49.96115","14.452370000000002","0287970"
"1540","Ohrobec,U Rybníka","49.94252","14.431479999999999","1093550"
"1542","Zvole","49.93346","14.42276","1940510"
"1544","Zvole,Černíky","49.92075","14.41946","1940340"
"1546","Březová-Oleško,Březová","49.915","14.41559","1940260"
"1548","Březová-Oleško,U Topolů","49.90818","14.413120000000001","1940420"
"1550","Březová-Oleško,Oleško","49.902029999999996","14.41055","1940420"
"1552","Vrané n.Vlt.,Škola","49.936659999999996","14.37815","1853110"
"1554","Zvole,Škola","49.934470000000005","14.4185","1940510"
"1556","Horčičkova","50.032","14.53442","3060610"
"1560","Okrouhlo","49.91883","14.44754","1097110"
"1562","Okrouhlo,Zahořany","49.90947","14.45915","1097200"
"1564","Vestec,Safina","49.98545","14.494079999999999","1810210"
"1566","Dolní Břežany,Na Spálence","49.96621","14.44224","0287970"
"1568","Dolní Břežany,Škola","49.96613","14.4608","0287970"
"1570","Zlatníky-Hodkovice,Břežanská","49.97025","14.483179999999999","1932160"
"1572","Zlatníky-Hodkovice,Slunečná","49.9664","14.482129999999998","1932160"
"1574","Zlatníky-Hodkovice,U Prodejny","49.96246","14.4811","1932241"
"1575","Zlatníky-Hodkovice,Náves","49.95975","14.48059","1932241"
"1577","Zlatníky-Hodkovice,U Hasičárny","49.957229999999996","14.480410000000001","1932241"
"1579","Horky","50.06145","14.446629999999999","1281980"
"1581","Libeř,Libeň,Oáza","49.95148","14.474470000000002","0825540"
"1583","Jesenice,Horní Jirčany","49.95198","14.537770000000002","0586020"
"1585","Jesenice,Horní Jirčany,Vodárna","49.94628","14.54305","0586020"
"1587","Sulice,Hlubočinka,Obchodní centrum","49.93895","14.553270000000001","3209010"
"159","Lukavecká","50.11603","14.617320000000001","0437700"
"1590","Sulice,Hlubočinka","49.93394","14.55921","3209010"
"1592","Sulice,Na Křížkách","49.92634","14.5695","1594331"
"1596","Sulice,Želivec","49.9157","14.581920000000002","1594410"
"1600","Jirny,DHL","50.1219","14.68619","3246040"
"1601","Kamenice,Nová Hospoda","49.91044","14.583979999999999","0624560"
"1603","Kamenice,Olešovice","49.90468","14.590639999999999","0624641"
"1605","Horní cesta","50.03327","14.39645","1291510"
"1606","Kamenice,Valnovka","49.89741","14.60578","0625110"
"1608","Kamenice,Ládví","49.89454","14.613470000000001","0624480"
"1610","Kamenice,Kuklík","49.89083","14.62299","0624480"
"1612","Řehenice,Babice","49.8807","14.623439999999999","1449320"
"1614","Řehenice,Křiváček","49.866929999999996","14.643820000000002","1449670"
"1616","Nespeky,Rozc.Pyšely","49.86538","14.656670000000002","1037722"
"1618","Nespeky","49.85842","14.660260000000001","1037722"
"1620","Pyšely,Hotel Doly","49.86681","14.66039","1037722"
"1622","Pyšely,Sokolovna","49.875029999999995","14.67844","1370570"
"1624","Pyšely,Nám.","49.87708","14.67809","1370570"
"1626","Boloňská","50.04718","14.5557","1325860"
"163","Dědinova","50.03375","14.48368","1282950"
"1630","Pyšely,Zaječice","49.89517","14.682120000000001","1370730"
"1632","Senohraby,Odb.","49.89515","14.713320000000001","1475080"
"1634","Senohraby,U Zvoničky","49.89528","14.718129999999999","1475080"
"1636","Pyšely","49.86088","14.69776","0196820"
"1637","Senohraby,Žel.st.","49.89711","14.728010000000001","1475080"
"1638","Senohraby","49.89703","14.72771","1475080"
"1639","Pětihosty","49.88573","14.704410000000001","1474940"
"1641","Pyšely,Nová Ves","49.881009999999996","14.68612","1370490"
"1643","Nehvizdy,U Studánky","50.13234","14.737729999999999","1024070"
"1645","Na Kovárně","50.11782","14.628020000000001","0437700"
"1647","Kamenice,Štiřín","49.91625","14.60092","0624990"
"1649","Kamenice,Všedobrovice","49.9173","14.610320000000002","0625290"
"165","V Nových domcích","50.05643","14.53413","1318310"
"1651","Petříkov,rozc.","49.920809999999996","14.62176","1204130"
"1653","Petříkov","49.926840000000006","14.61542","1204130"
"1655","Kamenice,Kult.dům","49.90401","14.58675","0624641"
"1656","Kamenice,U Dvora","49.89969","14.58099","0624211"
"1658","Kamenice,Těptín,U Kozlího kamene","49.89658","14.56814","0625020"
"1660","Kamenice,Těptín","49.89244","14.564639999999999","0625020"
"1662","Pohoří,Markvart","49.892109999999995","14.550670000000002","1249150"
"1664","Pohoří,Skalsko","49.893190000000004","14.539629999999999","1249150"
"1666","Průchova","50.06239","14.36597","1286600"
"1668","Pohoří","49.90058","14.525","1249070"
"1671","Pohoří,Chotouň","49.90038","14.51164","1248930"
"1673","Jílové u Prahy,Čs.armády","49.89533","14.498489999999999","0600970"
"1675","Kostelec u Křížků","49.9069","14.558179999999998","0703010"
"1677","Kamenice,Skuheř","49.9018","14.56947","0624720"
"1679","Dolní Břežany,Nad Mlýnem","49.9654","14.448120000000001","0287970"
"1681","Kladno,U Hřbitovů","50.15238","14.10559","0651450"
"1683","Sulice","49.92368","14.557229999999999","1594331"
"1685","Křížkový Újezdec","49.93103","14.58504","0765540"
"169","Za Tratí","50.167159999999996","14.51901","1315040"
"1696","Bořislavka","50.09834","14.362829999999999","1292590"
"1697","Sídliště Červený Vrch, Arabská ul.","50.09854","14.3622","1292670"
"1698","Horoměřická ul., TRAM Dejvice","50.09854","14.36439","1292590"
"1700","Sídliště Červený Vrch, Evropská ul.","50.0982","14.3621","1292590"
"1701","Sídliště Červený Vrch, Africká ul.","50.09819","14.36217","1292590"
"1702","Horoměřická ul., Evropská ul.","50.09838","14.36456","1292590"
"1703","Horoměřická ul., ul. Liberijská","50.09815","14.36476","1292590"
"1704","Horoměřická ul., BUS Hanspaulka","50.098729999999996","14.36452","1292670"
