"JSON_parentId","geometry_type","properties_level_id","properties_location_type","properties_parent_station","properties_platform_code","properties_stop_code","properties_stop_desc","properties_stop_id","properties_stop_name","properties_stop_timezone","properties_stop_url","properties_wheelchair_boarding","properties_zone_id","type"
"stops.geometry_7a0a1175e5694b94c49d9e978a2e4e55","Point","U758L2","0","U758S1","2","","","U758Z102P","Křižíkova","","","1","P","Feature"
"stops.geometry_2d317376dafbe44f1b362b43b5b36674","Point","","0","","A","","","U758Z1P","Křižíkova","","","1","P","Feature"
"stops.geometry_52e2d678759004489dfc159bb2597af1","Point","","0","","B","","","U758Z2P","Křižíkova","","","1","P","Feature"
"stops.geometry_d2b65af7124bd98fe532b9ba509f7a25","Point","","0","","A","","","U759Z1P","Tolstého","","","0","P","Feature"
"stops.geometry_b4ff5226a1eaeb9fb78433c59ab45da3","Point","","0","","B","","","U759Z2P","Tolstého","","","0","P","Feature"
"stops.geometry_ed1a5aca63379315f917225632e147e2","Point","U75L1","3","U75S1","","","","U75N1","","","","0","","Feature"
"stops.geometry_bd3ec0774a541f705f2e675e3bdd7c1f","Point","U75L0","3","U75S1","","","","U75N2","","","","0","","Feature"
"stops.geometry_e597e57d61c5c0ea2385f16a577c08c4","Point","U75L1","3","U75S1","","","","U75N3","","","","0","","Feature"
"stops.geometry_d3ae073684ad368fc979c7abf35dd824","Point","U75L0","3","U75S1","","","","U75N4","","","","0","","Feature"
"stops.geometry_02f255db1394ec43ee6689ea3d130926","Point","","1","","","","","U75S1","Kolbenova","","","1","P","Feature"
"stops.geometry_71abf989bcce47e92c01fa49f624eb81","Point","U75L0","2","U75S1","","","","U75S1E1","TRAM Lehovec, Palmovka",""," ","0"," ","Feature"
"stops.geometry_e2ef72020faf1639e6825d0180e30bf7","Point","U75L1","0","U75S1","1","","","U75Z101P","Kolbenova",""," ","0","P","Feature"
"stops.geometry_bc9e84c9e48c258dc6bafecb11c669cb","Point","U75L1","0","U75S1","2","","","U75Z102P","Kolbenova",""," ","0","P","Feature"
"stops.geometry_66a3d4998fad1561ae83afdbd3413a5c","Point","","0","","A","","","U75Z1P","Kolbenova","","","1","P","Feature"
"stops.geometry_3b3cfa73a2d4e7e2ada865aa1deb21bb","Point","","0","","B","","","U75Z2P","Kolbenova","","","1","P","Feature"
"stops.geometry_0eed35be18cebe84520467621320b07f","Point","","0","","A","","","U760Z1P","Topolová","","","0","P","Feature"
"stops.geometry_ff2d4e4b65e19867246c8bbd11525324","Point","","0","","B","","","U760Z2P","Topolová","","","0","P","Feature"
"stops.geometry_c3ff21ac97d555ea2dba942c51291872","Point","","0","","A","","","U761Z1","Továrny Hostivař","","","0","0","Feature"
"stops.geometry_01525eb898a73af850aaa35063f1ff49","Point","","0","","A","","","U761Z1P","Továrny Hostivař","","","0","P","Feature"
"stops.geometry_692648c289aae60c98e16e1c2edbaac4","Point","","0","","B","","","U761Z2","Továrny Hostivař","","","0","0","Feature"
"stops.geometry_78042869a5ade7e77a431c100e25970f","Point","","0","","B","","","U761Z2P","Továrny Hostivař","","","0","P","Feature"
"stops.geometry_e7634d8a453201d13266d6c774b7781a","Point","","0","","A","","","U762Z1","Satalice","","","0","B","Feature"
"stops.geometry_590357fd94132893dce171494341897e","Point","","0","","A","","","U762Z1P","Satalice","","","0","P","Feature"
"stops.geometry_4f4a19ccfc29a2b931ad411ae22aecc3","Point","","0","","B","","","U762Z2","Satalice","","","0","B","Feature"
"stops.geometry_9b17f14a8feeaaf8583198eb045531fd","Point","","0","","B","","","U762Z2P","Satalice","","","0","P","Feature"
"stops.geometry_8041a58c3964142a05355957b205563f","Point","","0","","D","","","U762Z4","Satalice","","","0","B","Feature"
"stops.geometry_bd664f62be76f8208b9b7c766c44b56d","Point","","0","","D","","","U762Z4P","Satalice","","","0","P","Feature"
"stops.geometry_311ab0c7df561c78951207e4e14875bb","Point","","0","","A","","","U763Z1P","Odlehlá","","","0","P","Feature"
"stops.geometry_23cfb8e0e1f64d76fd872233d3c886e9","Point","","0","","B","","","U763Z2P","Odlehlá","","","0","P","Feature"
"stops.geometry_d7be3e5aac15b787fbb0cb42659a4743","Point","","0","","A","","","U764Z1P","Zoologická zahrada","","","0","P","Feature"
"stops.geometry_72f426d81d1515b380de7e0e365baa97","Point","","0","","B","","","U764Z2P","Zoologická zahrada","","","0","P","Feature"
"stops.geometry_bd091af9036c808dc85f3ecc009be0dc","Point","","0","","A","","","U765Z1P","Trojská","","","1","P","Feature"
"stops.geometry_4293e5de593a85e5689649110ad6e806","Point","","0","","B","","","U765Z2P","Trojská","","","1","P","Feature"
"stops.geometry_391934e490675de510f13e1d9bd72a5f","Point","","0","","C","","","U765Z3P","Trojská","","","0","P","Feature"
"stops.geometry_bd1949c59c87332c002b7d5b097c86aa","Point","","0","","A","","","U766Z1","Trutnovská","","","0","0","Feature"
"stops.geometry_fab01ae347bd1baa984cdd8b82333c87","Point","","0","","A","","","U766Z1P","Trutnovská","","","0","P","Feature"
"stops.geometry_d491d6a19eed5eab21c1c2fc95729feb","Point","","0","","B","","","U766Z2","Trutnovská","","","0","0","Feature"
"stops.geometry_548befb3d742ac7d08541b24d0698a14","Point","","0","","B","","","U766Z2P","Trutnovská","","","0","P","Feature"
"stops.geometry_5dd7e6c4b73797cd35c95b09c3237b1c","Point","","0","","A","","","U767Z1P","Třebešín","","","0","P","Feature"
"stops.geometry_55284db7f193f349124f3b469e0efc46","Point","","0","","B","","","U767Z2P","Třebešín","","","0","P","Feature"
"stops.geometry_1b0942405ee875554c8e25e2f412d349","Point","","0","","A","","","U768Z1P","Třebonice","","","0","P","Feature"
"stops.geometry_6b8aa68cd5f8f7a7707dfbc6738778f4","Point","","0","","B","","","U768Z2P","Třebonice","","","0","P","Feature"
"stops.geometry_650e46f6c030f8a5fdd180a292a6ed97","Point","","0","","A","","","U769Z1","Třeboradice","","","0","B","Feature"
"stops.geometry_5796ad995063abdb813dcdd73d955c44","Point","","0","","A","","","U769Z1P","Třeboradice","","","0","P","Feature"
"stops.geometry_3a9b2cb308d2e0fa44018b85c4963e27","Point","","0","","B","","","U769Z2P","Třeboradice","","","0","P","Feature"
"stops.geometry_4cbc0c45a7c72d29baa25b1bc25591b5","Point","","0","","C","","","U769Z3","Třeboradice","","","0","B","Feature"
"stops.geometry_c000b54d2dd54114ca9f4e8657316836","Point","","0","","C","","","U769Z3P","Třeboradice","","","0","P","Feature"
"stops.geometry_ed5280631884ae127e233c9becb17dd6","Point","","0","","A","","","U76Z1P","Modřanská škola","","","1","P","Feature"
"stops.geometry_88bae00b4a0738b5f3094edb50900be3","Point","","0","","B","","","U76Z2P","Modřanská škola","","","1","P","Feature"
"stops.geometry_717fa5f7e191a8e96bd0e4c965983b6e","Point","","0","","C","","","U76Z3P","Modřanská škola","","","0","P","Feature"
"stops.geometry_0563a26d05e67a1bc85b735bda501ab0","Point","","0","","D","","","U76Z4P","Modřanská škola","","","0","P","Feature"
"stops.geometry_82d9a37deb0f732244f9f03b2e6d859c","Point","","0","","A","","","U770Z1P","Nové Petrovice","","","0","P","Feature"
"stops.geometry_e15ae4d580155c0826ea437e9dfa34b4","Point","","0","","B","","","U770Z2P","Nové Petrovice","","","0","P","Feature"
"stops.geometry_886a72f4ec94bb189272fb9d7ca270c0","Point","","0","","A","","","U771Z1","Tupolevova","","","0","0","Feature"
"stops.geometry_f6e3f4b9dbaaabef6356657f66da98ca","Point","","0","","A","","","U771Z1P","Tupolevova","","","0","P","Feature"
"stops.geometry_d755873aca592b99f2fd74fd961fad07","Point","","0","","B","","","U771Z2","Tupolevova","","","0","0","Feature"
"stops.geometry_77f6cb1f194ee3a919a3f4b91a5774fd","Point","","0","","B","","","U771Z2P","Tupolevova","","","0","P","Feature"
"stops.geometry_be2e7749153e749cbe1db323ece0e16d","Point","","0","","A","","","U772Z1P","Tyršova čtvrť","","","0","P","Feature"
"stops.geometry_6ef67a491d8909e6bf2a5cc5a182a909","Point","","0","","B","","","U772Z2P","Tyršova čtvrť","","","0","P","Feature"
"stops.geometry_436925df25e5a7b42752c06b7ba8da27","Point","","0","","A","","","U774Z1P","U Dálnice","","","0","P","Feature"
"stops.geometry_ff7dd0e3486d91e8c80a9aa5e473b740","Point","","0","","B","","","U774Z2P","U Dálnice","","","0","P","Feature"
"stops.geometry_8e4c3e7ef408614ca1bdd9eea66183d2","Point","","0","","A","","","U775Z1P","U Elektry","","","1","P","Feature"
