latitude,longitude,altitude,geometry,coordinates,@id,bus,highway,public_transport,name,ref,ref:PID,network,operator,wheelchair,official_status,railway,source,tram,name:de,shelter,direction,local_ref,tactile_paving,note,name:ru,name:cs,wikidata,wikipedia,colour,network:cs,network:en,network:ru,station,subway,transport,level,name:en,name:it,name:nl,alt_name:de,old_name,name:uk,railway:ref,train,uic_ref,bench,bin,destination,old_name:de,start_date,toilets:wheelchair,wheelchair:description,alt_name,layer,entrance,opening_hours,disused,covered,platforms,internet_access,bicycle,route_ref,name:tr,disused:public_transport,door,type,departures_board,amenity,official_name,description,fee,noexit,int_name,lines,access,public_transport:version,name:he,name:es,name:fi,name:fr,name:ja,name:zh,short_name,elevator,description:cs,description:en,bus_routes,capacity,stroller,website,name:ko,barrier,automatic_door,name:be,network:de,depth,name:1971-1990,alt_name:ru,name:1985-1990,check_date,name:1862-1919,name:1919-1940,name:1940-1945,name:1945-1952,name:1953-1990,name:1990-,name:de:1862-1919,name:de:1919-1940,name:de:1940-1945,ele,fixme
50.058021,14.3392215,,Point,,node/21516887,yes,bus_stop,platform,Šafránkova,B,U966Z2P,,"Dopravní podnik hl. m. Prahy, akciová společnost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.044633,14.3387793,,Point,,node/21599996,yes,bus_stop,platform,Archeologická,B,U356Z2P,,"Dopravní podnik hl. m. Prahy, akciová společnost",,,,,,,,,,,name change as of 20170429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0973378,14.4061206,,Point,,node/21631622,yes,bus_stop,platform,Hradčanská,,,,"Dopravní podnik hl. m. Prahy, akciová společnost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0546485,14.3469209,,Point,,node/21678252,yes,bus_stop,platform,Nušlova,B,U968Z2P,Pražská integrovaná doprava,"Dopravní podnik hl. m. Prahy, akciová společnost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0678879,14.4698499,,Point,,node/21678384,yes,bus_stop,platform,Slavia,,U680Z4P,,,,,,,,,,,,,,Славия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1163759,14.4331702,,Point,,node/21710649,yes,bus_stop,platform,Trojská,U765Z1,,,,,,tram_stop,,yes,Trojastraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0856431,14.4042192,,Point,,node/21711416,,,stop_position,Hellichova,,,,,,,tram_stop,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0414928,14.3945394,,Point,,node/21714187,yes,bus_stop,platform,Nádraží Hlubočepy,,U146Z2P,,,,,,,,Kohlfelden,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0750996,14.4373685,,Point,,node/24567914,,,,Náměstí Míru,,,,,no,,subway_entrance,,,"Friedensplatz, U-Bahn A",,,,,,,Náměstí Míru,Q1972106,cs:Náměstí Míru (stanice metra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0841112,14.4241715,,Point,,node/24568223,,,,"Můstek, metro A",,,,,,,subway_entrance,IPR Praha:DMP,,"Brückel, U-Bahn A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
